id,name,kana,city,type,dish,hours,closed,status,blog,parking,slug,lat,lng
155,情熱うどん わらく,わらく,高松市,一般,,10:30〜16:00,水曜日,,,あり,waraku,34.278504,134.063866
156,橋本製麺所,はしもとせいめんじょ,高松市,製麺所,,10:00〜18:00,年中無休,,,なし,hashimoto-seimenjo,34.277528,134.035699
157,釜あげうどん 岡じま 丸亀本店,かまあげうどん まるがめほんてん,丸亀市,セルフ,,6:00〜15:00,無休,,,あり,okajima-marugame,34.286528,133.776597
158,釜あげうどん 岡じま 多度津店,かまあげうどん おかじま たどつてん,多度津町,セルフ,,平日｜10:00〜15:00、土日祝｜6:00〜15:00,無休,,,あり,okajima-tadotsu,34.274602,133.746549
159,釜あげうどん 岡じま 高松店,かまあげうどん おかじま たかまつてん,高松市,セルフ,,10:00〜15:00,年中無休,,,なし,okajima-takamatsu,34.348858,134.049124
160,誠うどん,まことうどん,高松市,一般,,12:00～19:00,日曜日,,,あり,makotoudon,34.336166,134.041505
161,植田うどん,うえだうどん,高松市,セルフ,,9:38～15:00,日曜日（祝日は営業）,,,なし,uedaudon,34.346896,134.050304
162,池上製麺所,いけがみせいめんじょ,高松市,セルフ,,10:30～14:00（土日祝は10:00～14:00）,火曜日・元日,,,あり,ikegamiseimenjo,34.246156,134.024647
163,まえばうどん,まえばうどん,丸亀市,セルフ,,10:30～14:10（麺がなくなり次第終了）,木曜日,,,あり,maebaudon,34.235638,133.882501
164,かしむらうどん,かしむらうどん,高松市,一般,,11:00～15:00（麺がなくなり次第終了）,火曜日,,,あり,kashimuraudon,34.350625,134.089464
165,岡製麺所,おかせいめんじょ,綾川町,セルフ,,10:00～14:00,火曜日（日曜日は玉売りのみ）,,,あり,okaseimenjo,34.214831,133.976433
166,手打うどん 風月,てうちうどん ふうげつ,高松市,一般,,11:15～14:00（麺切れ終了）,日曜日・祝日,,,なし,fugetsu,34.344879,134.047518
167,手打うどん はりや,てうちうどん はりや,高松市,一般,,11:00～（麺なくなり次第終了）,日曜日・祝日,,,あり,hariya,34.349355,134.015151
168,しんぺいうどん,しんぺいうどん,高松市,一般,,11:00～15:00・17:30～21:00,月曜日,,,なし,shinpeiudon,34.341603,134.052485
169,手打ちうどんますや,てうちうどんますや,高松市,セルフ,,11:00～（玉切れ次第終了）,日曜日・祝日・第3土曜日,,,あり,masuya,34.337332,134.094457
170,めんや七福 本店,めんやしちふく ほんてん,高松市,セルフ,,10:00〜14:30,日曜日,,,なし,shichifuku-honten,34.338354,134.044257
171,讃岐つけ麺 寒川,さぬきつけめん さんがわ,高松市,一般,,11:00～14:00・19:00～翌2:00,日曜日・月曜日,,,なし,sanukitsukemen-sangawa,34.342814,134.048871
172,手打うどん まつばら,まつばら,高松市,一般,,10:00〜15:00,金曜日・第3木曜日,,,あり,matsubara,34.276389,134.027144
173,野口製麺,のぐちせいめん,高松市,セルフ,,10:00〜14:00,日曜日・祝日,,,あり,noguchiseimen,34.333122,134.060894
174,うどんの田,うどんのでん,高松市,セルフ,,10:00〜14:00（土曜は6:00〜14:00）,日曜日,,,あり,udonnoden,34.282637,134.035391
175,讃岐うどん工房 アイ・スタイル,さぬきうどんこうぼう あいすたいる,高松市,セルフ,,10:30〜14:30,木曜日,,,あり,istyle,34.324879,134.073387
176,讃州製麺,さんしゅうせいめん,丸亀市,セルフ,,6:45〜8:30・10:00〜15:00,年中無休,,,あり,sanshuseimen,,
177,長田うどん,ながたうどん,まんのう町,一般,,10:00〜14:00（玉切れ次第終了）,木曜日・第3金曜日,,,あり,nagataudon,34.185113,133.857542
178,川福 本店,かわふく ほんてん,高松市,一般,,11:00〜23:00,火曜日,,,なし,kawafuku-honten,34.344896,134.051949
179,うどん職人さぬき麺之介,うどんしょくにんさぬきめんのすけ,高松市,一般,,11:00〜14:00・17:30〜23:00,日曜日,,,なし,sanukimennosuke,34.341020,134.052830
180,本格手打うどん 麺むすび,ほんかくてうちうどん めんむすび,高松市,一般,,10:30〜14:30,月曜日,,,あり,menmusubi,34.306507,134.057690
